Date,Slot Revenue,Table Game Revenue,Hotel Revenue,Food & Beverage Revenue,Entertainment Revenue,Loyalty Member Revenue,Peak Hour Revenue (6PM-12AM),Operating Expenses,Marketing Spend,Customer Acquisition Cost,Total Customers,New Customers,High-Roller Revenue,Hotel Occupancy (%),Average Spend per Customer,Total Revenue,Profit Margin (%),Cash Flow,Player Retention Rate (%),VIP Customers,Standard Customers,Food & Beverage Cost,Event Nights
2023-01-22,282913,99930,12287,9910,69580,84601,123094,107221,84024,63,9714,767,15574,88,284,745687,6.58,109996,90.28,479,3304,56831,0
2023-01-23,341879,16801,38660,60713,9368,149347,161379,305927,61448,289,3886,479,140698,99,726,655645,27.84,76011,79.67,307,1726,33746,0
2023-01-24,214027,113150,65504,49857,48403,191646,232443,410444,94517,487,3164,810,179251,87,755,1613630,15.39,242248,65.52,183,1784,17137,0
2023-01-25,347069,213339,107979,37964,11168,57857,16064,691517,10901,291,4945,773,142659,42,283,1967322,16.49,190660,90.21,82,1189,52940,0
2023-01-26,272709,189208,39701,88667,51879,135555,81848,626515,97980,391,6235,569,52782,72,417,541913,13.75,249738,63.12,93,4935,22260,0
2023-01-27,219041,164697,88300,28227,61871,242556,42548,315308,93597,198,8746,845,195484,80,744,694571,20.69,215808,75.32,68,2496,37476,0
2023-01-28,287455,223945,88560,8978,34174,30700,173017,143078,12881,285,3590,774,70561,48,894,159567,24.61,222672,54.49,30,4881,27283,1
2023-01-29,123355,241915,48642,90527,8581,180536,273620,624887,39863,355,8754,215,145481,50,281,409150,21.2,109262,91.49,467,1609,2769,0
2023-01-30,255796,213664,70160,20153,73853,183423,7382,514761,15622,216,5934,704,137159,53,922,337778,23.71,147105,56.33,415,929,43278,0
2023-01-31,234176,218124,22602,62765,66046,103330,181348,559668,11378,69,5076,141,36751,55,540,1290334,27.65,154249,60.12,166,4626,47994,1
2023-02-01,204779,11542,108320,102084,51678,235391,84698,239651,93168,265,6185,895,48174,74,668,1734470,26.59,78404,75.12,328,4281,16634,1
2023-02-02,367449,293821,93801,111212,28649,223606,250762,550741,81186,392,2093,478,132678,57,552,1429611,21.85,151664,84.38,338,1102,40499,0
2023-02-03,441909,187804,30931,42071,16567,154941,248381,118207,55201,184,4880,821,66572,58,939,1593907,10.37,245043,77.87,70,939,11965,0
2023-02-04,485148,191415,99377,115990,63944,201387,50095,384199,69251,442,7559,305,71416,46,784,726020,20.94,283123,60.45,73,1484,28566,0
2023-02-05,278795,49081,34192,72519,30803,234760,294341,390414,82572,178,3785,565,153113,97,641,816079,17.65,-32759,50.04,334,2418,53196,0
2023-02-06,412752,203928,51542,12503,20230,162026,27010,161426,49255,459,7065,831,164299,73,795,1112968,22.93,258355,84.07,177,1027,34143,0
2023-02-07,176730,229930,132015,63703,19862,172627,138962,561081,73212,471,7539,379,45201,90,430,1090534,25.82,13472,94.33,212,4905,49285,1
2023-02-08,366622,291209,47520,67379,45355,73353,114162,184794,60210,343,2574,747,46069,97,745,1054227,23.57,155320,86.45,138,3496,56499,1
2023-02-09,404681,224532,69772,98457,33259,223262,275170,407776,32499,295,6676,717,36370,54,477,916309,26.16,-18654,70.71,254,3967,20420,0
2023-02-10,169503,98092,55106,60866,32795,186098,332069,595726,61628,238,9060,217,135342,96,746,349465,6.6,31196,90.67,115,1861,26236,0
2023-02-11,150523,299106,86121,19905,10770,110772,73842,633107,71360,93,4990,336,152658,31,695,324589,5.79,158196,68.44,330,1203,7218,1
2023-02-12,22747,38295,30559,48838,13093,188048,300809,93856,14603,135,6210,408,191303,78,781,638314,11.46,99014,73.62,131,1162,59747,0
2023-02-13,143855,23807,110595,61279,48571,221650,276421,476792,95473,93,5845,555,135758,99,849,1431142,27.52,261311,71.47,327,864,50892,0
2023-02-14,472366,167504,38742,92489,2193,101502,178311,492244,22632,379,2189,999,146394,55,413,395625,25.59,248517,70.14,191,1422,9495,0
2023-02-15,85725,248067,74669,29806,19569,123943,315152,109807,40607,424,3689,574,75294,56,251,733672,22.07,279287,84.88,112,4356,34853,0
2023-02-16,149981,178152,140044,48000,13190,119850,281827,540999,75756,495,5095,199,89468,47,931,1401347,22.52,70623,73.7,325,675,14073,0
2023-02-17,104654,176981,75831,25168,64824,55095,136742,93461,56994,427,2875,360,170371,83,195,158031,23.17,-47984,64.25,311,1435,12371,0
2023-02-18,448989,230411,117217,73119,44752,155342,225283,667762,73382,439,8768,404,100715,30,885,454398,28.57,281254,61.62,270,881,18594,0
2023-02-19,401490,29870,46873,41714,34327,171980,153961,395280,80354,194,4406,453,80793,90,688,692520,25.8,-42726,51.7,122,805,12226,0
2023-02-20,87435,213196,111532,57093,44070,25523,180607,332579,66344,100,4932,385,187573,32,506,1815948,20.58,-34252,76.24,415,2890,58572,0
2023-02-21,339030,258683,131267,58419,42197,72433,345686,457407,63775,291,9240,427,198206,97,184,442368,21.64,-38174,60.35,483,2703,53271,0
2023-02-22,348947,244677,145975,52145,4261,188140,321463,304730,17349,343,6408,202,121672,70,675,516673,10.34,295152,56.67,446,1965,11046,0
2023-02-23,51551,36790,139092,108432,28512,29991,250144,296732,81154,457,4861,162,150849,66,313,563788,21.43,79288,79.42,79,3771,50419,0
2023-02-24,398360,128874,46755,80425,8716,20775,157711,470602,37464,100,8406,786,152321,80,113,860791,15.62,151081,80.65,169,902,52926,0
2023-02-25,293538,297433,90956,95949,30933,218873,200784,629074,52624,315,3833,381,130902,44,540,1964968,8.82,201054,83.85,249,3170,44809,0
2023-02-26,351236,234786,91988,80811,6378,94995,257217,325848,47344,169,6285,540,31390,37,696,1119526,25.16,122507,72.66,20,2301,38117,0
2023-02-27,23890,25485,50648,5461,42583,202322,336119,106635,93791,249,8645,392,30369,67,90,187695,17.76,156089,90.23,147,3150,5965,1
2023-02-28,61606,96188,130991,17291,31033,157745,168244,402854,34299,454,5777,837,153953,85,345,1278642,29.44,173023,92.14,176,676,47260,0
2023-03-01,276840,14748,145588,49804,26000,132808,106158,295984,57975,297,3735,106,19587,76,52,1287558,12.04,295250,86.33,256,1242,14336,1
2023-03-02,493254,227841,120005,79971,77868,168128,278721,375137,11462,119,9273,738,117009,39,962,1413413,17.02,142949,78.6,363,2848,58277,0
2023-03-03,369457,150507,7396,96471,44604,147686,344443,162752,91441,390,9278,191,148905,78,755,1788177,16.2,266782,63.67,40,4902,20843,0
2023-03-04,161699,275853,89082,67946,70336,242628,287320,261194,91788,106,7368,289,57013,70,159,653098,8.02,19072,94.23,21,1250,18373,1
2023-03-05,290936,133961,133322,101989,75869,17415,68972,278584,50581,431,1821,970,127341,59,270,644380,15.65,17309,62.34,252,1368,46452,1
2023-03-06,259931,40355,137663,87080,7410,229763,287140,468632,81289,88,8525,575,137785,34,419,1630571,12.19,110966,59.12,117,4562,51089,1
2023-03-07,259629,196843,16303,64332,58044,184956,105922,182886,24175,338,1162,610,156826,60,417,1730969,9.01,135639,69.9,345,4467,7654,0
2023-03-08,225041,166542,76719,80794,65315,158036,40931,128537,16191,492,8777,561,117584,81,485,1834441,12.05,-14674,52.56,431,713,32280,0
2023-03-09,194073,183416,104616,33841,73344,178798,129168,135166,93434,67,2932,152,88113,52,967,1352876,10.83,136131,94.03,332,2117,57141,0
2023-03-10,227624,49298,129165,51758,8796,47044,171782,425854,94518,489,4535,853,96784,77,53,390699,23.35,217223,76.48,203,3030,58783,0
2023-03-11,437113,71629,91231,117726,56245,198221,128099,347843,90158,269,6956,585,45282,69,293,696222,5.77,37340,75.06,317,3833,41110,0
2023-03-12,88148,240907,12314,79272,45056,178616,39693,358479,76537,362,4446,743,177809,35,951,1745652,20.44,297355,79.51,142,2097,23407,0
2023-03-13,272801,33960,24623,40643,19709,59976,113944,347883,57645,293,3790,589,34124,67,215,963689,24.02,254893,72.37,404,1011,3358,0
2023-03-14,144243,223920,110228,53408,60557,173324,229655,609073,33283,401,3707,463,80102,70,75,1952947,17.02,117364,51.44,290,752,27583,0
2023-03-15,271995,252804,102624,46950,19543,13832,212574,213052,96971,353,8959,211,143268,56,444,1553617,28.29,68192,77.55,300,4633,53497,0
2023-03-16,402318,139695,116785,59849,39418,231883,284518,537918,69123,347,4933,508,71527,98,523,1632579,22.7,286678,82.23,172,1128,29706,0
2023-03-17,174555,244286,91206,103500,18724,221509,252572,444825,40024,332,4385,106,140371,86,66,595707,23.7,201749,68.75,287,3976,7360,1
2023-03-18,406502,138148,74274,31044,5828,244821,348615,116253,59630,123,7636,841,140942,46,777,255223,9.92,291377,84.08,430,1486,54968,0
2023-03-19,68555,292703,138541,108469,19087,44148,50913,528697,40734,159,1922,767,106651,76,141,1800932,24.43,1818,60.22,479,2225,4743,0
2023-03-20,276508,202714,58947,18997,14605,202312,202097,665416,10515,229,9089,296,95395,42,532,1672900,25.8,-36571,59.96,448,2593,8159,1
2023-03-21,299303,217611,53874,82751,33337,249241,311660,211081,76727,475,1564,934,21345,40,592,1504668,14.03,7748,57.26,212,2201,33151,0
2023-03-22,392654,293876,54708,101605,7482,229526,92796,685254,56216,81,4258,975,134544,53,254,663339,10.33,-1193,66.74,105,804,1518,0
2023-03-23,126530,269747,79553,26911,67333,122230,293213,187854,81833,283,3500,834,44077,33,551,591513,14.63,219284,88.12,492,4578,17652,0
2023-03-24,100077,101362,73344,58533,52952,95076,89811,673640,68755,331,5566,466,140429,75,980,180738,23.49,275370,87.26,232,2780,13925,0
2023-03-25,318064,285987,54138,85566,7463,218188,195121,469149,37856,74,7881,349,22055,47,449,435740,15.44,188161,67.23,246,4840,48578,0
2023-03-26,480337,124065,52638,97870,72448,194531,237892,682585,83870,380,4636,694,113693,72,256,1732935,23.42,240669,76.51,126,3307,50007,0
2023-03-27,220551,27640,83249,17571,6648,48402,44178,612634,34162,328,7030,339,95283,62,668,230613,7.84,232635,82.44,465,3386,55596,0
2023-03-28,301601,62528,110865,111255,35623,198799,299965,162138,16008,275,1223,479,54484,39,195,173601,25.15,149888,60.85,201,3954,6475,0
2023-03-29,479773,269214,7719,97463,61156,48578,21999,362916,17987,106,7297,971,87514,88,928,1178449,11.33,116052,57.57,285,1524,37953,0
2023-03-30,228261,120133,47534,60941,37634,100453,305856,90149,72532,229,1350,934,100135,60,150,1840584,11.22,176597,93.74,115,4812,38929,0
2023-03-31,260181,209938,97241,61005,46602,163390,200623,398844,13332,281,8314,570,45771,57,929,1220044,19.76,-41922,77.79,491,3475,43348,0
2023-04-01,361097,160159,131209,89250,51334,85715,176244,528928,76323,431,2928,874,198726,89,879,912902,6.75,41654,94.16,13,1006,10886,0
2023-04-02,335139,182502,97124,61712,70648,218859,300866,178447,48990,392,8743,800,187612,32,929,1869065,5.66,79101,65.2,27,3451,12465,0
2023-04-03,191829,165576,96659,46541,24054,121435,277769,511693,19873,336,9540,554,120284,84,290,1156904,11.53,-33003,81.64,316,1553,59733,0
2023-04-04,291836,21023,80713,26387,72028,226101,203237,55695,92542,113,5732,465,127399,43,972,237405,18.45,81940,60.02,461,3174,54017,0
2023-04-05,458974,31447,80418,96980,24207,161538,11859,613457,95761,281,2017,389,114885,87,808,875807,27.69,162650,61.75,29,3067,12221,0
2023-04-06,485625,296103,133232,51908,23386,105742,115986,228296,46444,338,3226,973,170449,44,212,221173,26.16,233390,73.04,131,2404,25395,0
2023-04-07,222283,76203,149059,88457,61518,55475,237654,416645,45340,262,8206,502,190645,31,933,146638,17.26,101633,64.38,146,4870,3335,0
2023-04-08,216769,170775,36575,16057,54781,70142,288983,372554,15033,307,8170,157,183805,53,222,897700,5.93,-15488,57.54,89,3394,37442,0
2023-04-09,57065,19337,68852,67028,54780,226232,294360,415898,83324,67,7207,620,139344,93,551,1350251,18.38,175226,61.83,163,1600,5576,0
2023-04-10,243165,56427,137079,113804,63440,167636,320097,403039,25689,224,3419,403,152832,53,596,1262496,22.62,158467,51.61,367,4161,48740,0
2023-04-11,119299,115787,81242,58731,46199,163484,54522,362849,97134,466,7240,214,123226,56,333,510261,13.48,270009,81.7,34,2136,1500,0
2023-04-12,445822,172993,34257,27858,63035,103526,235233,242994,10066,278,2893,309,109250,66,408,1844677,7.78,22144,72.15,461,1955,27675,0
2023-04-13,31534,137016,149353,51689,10210,61001,12485,427844,55246,275,6322,140,35762,68,430,1584562,11.96,123557,54.24,178,4113,9083,0
2023-04-14,60397,276979,66246,47638,46363,67649,248056,51881,17533,133,8718,915,192058,92,919,107887,24.29,67363,57.73,68,538,42062,0
2023-04-15,277750,30159,6435,94598,62348,202029,117701,359509,90639,340,7878,272,175404,55,954,853266,13.78,262809,54.61,310,3584,16720,1
2023-04-16,373531,188677,96357,105386,57284,176589,212352,571144,80152,484,2125,333,181172,94,960,1122658,25.3,151484,77.57,50,4739,6543,0
2023-04-17,283160,176619,141156,49486,74124,154228,107638,129211,69658,419,4117,892,146016,33,582,1173494,12.99,131675,54.24,47,3231,52898,0
2023-04-18,75591,92844,149579,23567,70847,164136,189514,206078,48498,295,5161,983,58825,58,869,921929,9.09,102110,83.94,126,2915,4276,0
2023-04-19,240884,37532,88807,32739,24432,35711,279370,353342,21772,451,5042,689,23877,30,212,455706,15.9,43542,50.92,284,1258,53237,0
2023-04-20,43247,175421,120953,60804,66089,40106,98405,475659,99385,159,5433,719,171062,79,658,816369,16.31,226469,61.22,279,4842,31635,1
2023-04-21,44300,132402,143563,111821,57398,75458,289732,277203,59036,303,9638,892,139065,40,356,1422649,5.4,116964,90.08,136,3616,55887,0
2023-04-22,487281,128012,128797,6754,5321,157661,215048,89553,68531,137,3658,502,118443,88,388,1655084,7.93,99068,82.33,414,1264,25180,0
2023-04-23,102798,66178,68888,30044,39383,230344,167781,557353,22940,121,4483,138,109612,91,104,1775065,9.62,280955,53.28,408,2922,7613,0
2023-04-24,29268,59407,78609,70260,54893,140429,42019,448138,26932,430,3944,218,127674,65,382,620337,7.84,155355,86.95,12,1814,45497,0
2023-04-25,368951,60990,14077,69912,37820,227583,266497,82766,66827,79,8210,434,125074,85,176,1117977,13.54,66737,72.19,302,4802,2327,0
2023-04-26,294329,139473,25953,11706,68262,111754,70133,605710,71431,221,8653,435,196355,50,989,834459,29.12,212968,88.11,382,4495,41540,0
2023-04-27,214776,236156,119682,11894,5760,148286,202530,324349,34648,358,9787,638,144330,42,754,1527286,17.73,190417,77.03,439,4529,11666,1
2023-04-28,237851,178964,72889,21037,24190,237189,163598,529806,42966,443,2986,715,41629,38,292,390690,20.69,67718,80.68,25,4193,27255,0
2023-04-29,452315,11015,120374,86986,69411,226803,133585,204599,37777,392,2074,173,178651,40,910,1138646,13.91,278761,94.71,407,3685,21130,0
2023-04-30,421787,71813,29860,84942,25377,136479,250172,461659,42567,485,5305,290,164030,99,649,309496,13.09,223661,60.46,274,3366,23068,0
2023-05-01,256584,37712,82475,54612,48737,168199,310539,459740,27174,226,4007,423,180537,30,897,792698,5.58,102755,78.08,248,1817,50057,0
2023-05-02,58044,110497,92266,32725,71569,146213,130814,428621,52598,188,1969,246,25775,99,458,1576075,17.51,157791,70.71,272,1200,19946,0
2023-05-03,333358,252926,105732,8926,40211,38884,30939,78202,69199,243,9772,866,175279,85,552,706782,17.09,199120,51.78,407,4883,21547,0
2023-05-04,474444,122816,32083,107555,5744,231493,158939,489358,23798,235,3824,383,163625,60,776,1619962,8.95,204322,50.65,143,2701,20701,0
2023-05-05,396896,138778,62372,12496,26995,12708,267347,70855,75364,267,2211,312,194704,66,653,1888723,24.11,159485,55.37,222,2093,52588,0
2023-05-06,68984,72292,128786,59447,18977,28375,296207,526963,27558,213,1229,734,10055,76,352,408710,17.32,222126,79.21,24,4487,6769,1
2023-05-07,322918,295977,12813,104604,36542,25088,95880,361385,71084,210,5284,817,98697,76,513,447608,13.47,95711,75.52,445,4645,25883,0
2023-05-08,284712,145230,36598,32806,12651,67615,8748,677407,54237,480,4185,851,173945,98,284,1906717,8.67,20210,74.9,337,1730,14663,0
2023-05-09,140151,203752,98106,91199,18715,120138,241094,626291,75497,62,1501,493,111505,87,745,1276855,18.8,19852,51.43,427,3112,39686,0
2023-05-10,475808,292453,32082,44321,46409,186118,347908,511595,10178,345,1048,438,90720,65,87,181991,23.82,205139,71.12,369,3637,51241,0
2023-05-11,480779,279114,34241,105031,26306,20014,156956,144837,96006,138,4566,897,88199,61,188,454824,12.05,-40305,91.61,138,2408,38323,0
2023-05-12,153767,161456,16745,68095,21086,205497,161255,273068,27118,373,4055,121,166390,93,244,1438733,10.47,-1418,67.89,361,2290,36162,0
2023-05-13,144375,290161,31029,25656,16376,144345,155331,406427,32616,91,9880,870,43734,71,576,1200708,18.05,243238,78.12,131,3428,23852,0
2023-05-14,199262,115570,149097,58147,63350,188207,172031,173805,10798,452,1386,968,159594,77,818,355069,8.88,141707,85.09,250,1588,21388,0
2023-05-15,156330,280846,128395,94396,73425,112842,130829,165657,17601,259,1969,204,152728,59,696,585714,21.67,234331,85.28,124,2881,34434,0
2023-05-16,321648,10404,94186,52666,38636,171953,133216,154428,35363,278,6820,565,156965,50,50,783444,20.13,78721,73.37,206,4627,23102,0
2023-05-17,184231,188998,142612,85368,53649,238094,70901,172035,12795,399,4052,558,26493,89,610,776503,7.18,56683,88.61,231,3445,22536,0
2023-05-18,33986,284907,102768,41787,36610,88077,248386,495563,55264,324,8397,531,144704,42,145,1240203,5.91,213358,67.61,223,4069,13355,0
2023-05-19,81858,159456,46846,116767,12058,149784,180607,280780,82833,491,3302,869,105872,30,762,222772,20.51,236084,89.99,413,1665,3234,0
2023-05-20,149312,201172,80932,65946,76637,215776,103046,119518,13084,328,3283,815,71779,94,462,1377991,12.36,-5594,60.81,89,1100,40103,0
2023-05-21,32666,150932,28411,24727,72194,62874,83278,226355,86646,300,5366,921,179524,62,587,1076230,7.16,97049,62.61,272,2525,51388,0
2023-05-22,320804,245365,83797,111351,78917,79087,279535,170243,10731,359,1122,873,154338,67,904,765582,23.99,270558,52.39,144,2084,51775,0
2023-05-23,154633,60612,57307,98081,66200,22297,107476,446308,11129,257,7799,718,131187,54,478,1077469,12.85,185994,85.8,315,1487,32147,0
2023-05-24,308998,295718,139165,113058,48619,37128,102537,103311,38022,370,4727,862,126603,55,284,1661853,16.49,137313,68.77,251,2465,51526,0
2023-05-25,346649,295668,27042,71056,19154,78368,348303,72692,11605,189,9450,320,71607,88,398,1407589,10.92,154573,60.31,395,1939,24659,0
2023-05-26,124488,210244,57930,6081,21539,235091,186429,699242,87506,329,5958,478,26940,62,805,1999076,20.68,156205,60.43,312,1368,45271,0
2023-05-27,203323,283060,102883,37196,62058,228671,222980,442179,54130,83,1524,321,165075,70,919,1565741,12.54,10481,90.56,279,2563,40127,1
2023-05-28,304806,14809,38756,39735,64068,229571,302647,271468,39265,358,9399,357,137880,59,530,1164692,29.2,188084,87.53,296,1629,17560,1
2023-05-29,290536,173273,58268,107749,79313,88958,80403,391651,42330,441,1148,812,108408,86,888,806412,22.57,239884,74.91,59,4878,47644,1
2023-05-30,50535,194402,53901,83102,32373,42920,69286,130152,78469,67,9001,466,44815,78,445,1724233,8.42,275472,77.72,198,4956,59697,0
2023-05-31,491819,154528,104986,82578,35154,152228,341986,513685,25187,106,1437,869,171941,77,400,804177,15.42,224025,71.34,306,4229,24088,0
2023-06-01,395713,48765,133386,28498,8031,152180,109927,579214,35791,161,4749,448,59297,78,465,333982,14.64,249140,67.62,23,2434,3928,0
2023-06-02,334400,31949,10626,79865,73975,172917,282052,53969,80610,54,9186,324,70107,76,935,1887139,18.36,113249,91.2,398,1576,58969,0
2023-06-03,371279,211152,143496,34656,24785,143872,304372,85733,49867,459,5453,813,92793,85,965,305383,26.05,72196,55.65,468,2139,41385,0
2023-06-04,409622,186615,17857,70695,30669,244686,28386,381999,10893,463,6336,837,157754,94,936,391799,19.59,-12823,68.83,241,1892,41382,0
2023-06-05,317366,102193,138052,40900,4282,183784,182826,91743,29773,231,5551,335,29622,41,100,288874,6.54,16126,65.51,270,530,29184,0
2023-06-06,97373,46187,31431,87899,36624,143682,295446,220948,14239,62,3823,282,40408,98,130,1720496,21.39,268675,72.42,201,1203,21099,0
2023-06-07,492791,148311,89976,50701,50438,87603,327959,70323,30863,388,6728,811,149909,35,85,1031697,5.21,-23881,70.59,422,1368,5274,0
2023-06-08,143684,286633,87711,111777,69534,43872,257156,573293,61415,334,9677,968,156479,94,116,311284,24.5,67744,73.35,212,732,25970,0
2023-06-09,497867,199089,31385,22033,33705,20728,330488,328572,78968,308,9391,857,170381,54,690,1834712,21.67,66894,56.3,270,1450,26744,0
2023-06-10,476551,71877,23639,13805,40244,105102,328258,608866,70430,139,2982,543,103190,30,931,536441,12.72,108987,73.09,122,558,38739,1
2023-06-11,293109,104074,90530,38851,76964,236391,253724,660774,11515,153,7996,964,159967,61,716,1339658,12.31,-5011,60.91,383,3318,9389,0
2023-06-12,44538,173121,26563,29832,39437,132049,206202,551793,24605,428,3311,722,10370,32,806,313807,24.96,234250,58.29,361,4100,18352,0
2023-06-13,390210,47131,120672,66437,79872,30583,30525,376284,66240,235,8225,105,124212,78,672,1345099,24.58,229275,52.92,45,3649,53307,0
2023-06-14,221664,125765,141848,118725,76878,95774,84818,681613,15586,299,1604,335,10486,48,729,1852748,13.81,258697,84.32,88,801,22148,0
2023-06-15,395396,116884,144783,16944,74982,148335,119589,318508,41186,304,9175,226,33762,89,530,573818,12.47,-43447,69.23,284,3350,32828,0
2023-06-16,159182,135917,87970,22873,52583,136374,150406,441011,36928,125,6785,203,36613,58,517,1429615,19.0,-32119,78.2,457,3444,3504,0
2023-06-17,492525,296429,90553,43372,40392,208522,99715,478565,93087,435,5597,848,13196,79,191,1038713,5.21,-48621,82.74,287,2423,57795,0
2023-06-18,178338,183880,87879,92464,9461,230357,198839,669886,97029,157,8759,579,110565,31,405,1384468,7.07,19306,80.57,171,816,59620,0
2023-06-19,204064,291342,141727,18379,12516,160528,273788,226968,30711,205,8532,254,86349,85,758,1886272,8.15,193825,71.17,321,2388,39774,0
2023-06-20,234020,25254,49859,39751,19514,101118,262438,107062,64962,131,9740,356,74839,46,520,342718,9.64,54512,67.46,26,3215,29743,0
2023-06-21,118806,54238,57098,103082,38268,75942,310613,278338,30039,126,1838,334,182988,89,670,817167,17.8,228494,66.92,213,2381,29894,0
2023-06-22,420126,11252,127413,92822,38788,23689,332350,277909,46561,307,4815,599,18572,65,937,647374,29.81,49599,78.8,482,4398,31995,0
2023-06-23,393133,91317,5526,8110,77749,174006,172679,556995,85483,176,1847,388,169297,90,640,1234213,21.32,31397,72.27,449,4613,58114,0
2023-06-24,110982,88587,73760,57341,63049,43276,88178,138302,91395,440,5709,609,55853,46,951,575243,6.53,291653,88.21,26,1678,41711,0
2023-06-25,141626,16949,52837,15087,64493,111968,180458,638216,98658,331,5507,651,190462,78,722,1831143,18.14,-32231,89.36,211,4355,51421,0
2023-06-26,139176,248897,16536,26762,38027,160945,259466,615635,11577,137,7575,899,173347,89,488,469478,17.42,128321,57.68,485,4955,18748,0
2023-06-27,413422,214625,33541,118812,44849,23050,91724,577409,38350,253,5773,808,82379,49,580,1824833,8.6,51584,56.13,219,831,24100,0
2023-06-28,238126,148013,84083,85617,19858,76216,234204,133793,43798,65,5468,884,142177,79,176,687371,28.01,258509,78.37,411,1027,34691,0
2023-06-29,238969,35934,39531,103483,54395,225516,101393,602452,91417,200,6192,993,126074,32,254,1243604,16.02,262329,63.56,438,2559,50622,0
2023-06-30,142409,266434,13712,12596,41758,94040,81312,337635,20785,473,4320,875,53209,72,78,1770415,29.86,83858,50.84,489,1598,23981,0
2023-07-01,43419,260875,109101,106555,56312,31644,342468,633510,82227,303,5698,668,183559,86,494,762643,15.5,181609,89.99,87,711,33708,0
2023-07-02,463852,80390,70455,110539,70670,72021,76196,578036,71957,237,5311,397,159123,79,768,1766888,20.2,76525,60.21,65,2214,11246,1
2023-07-03,273618,193401,79744,21313,17434,178197,75014,600841,75431,378,4673,709,104244,97,513,362399,7.62,-13697,91.82,89,3188,46243,0
2023-07-04,265310,263490,134749,116175,66047,207971,146994,166547,27297,81,2564,236,110300,79,329,1663728,16.36,-30411,82.28,315,2830,33486,0
2023-07-05,70015,53088,10109,69549,49775,52291,38340,634668,81894,320,2840,475,124682,66,200,307627,10.97,215026,84.32,67,3766,31340,0
2023-07-06,268550,257940,54268,117914,77769,176132,306994,94331,73772,446,7058,186,67175,75,289,1688351,25.89,130394,59.07,27,1532,20338,0
